maneuver,controller,RMS_e_y_m,RMS_e_psi_rad,MAX_abs_e_y_m,MAX_abs_e_psi_rad,MAX_abs_delta_rad,case,Vx
lane_change,baseline_lqr,0.0417808207379851,0.0063866145032098,0.0745021942957025,0.0253105427102521,0.0928359770074406,fixed_speed_suite,
lane_change,koopman_mpc,0.0147559673802563,0.0072424336308336,0.0494574218434992,0.0287987265773548,0.1036666365575433,fixed_speed_suite,
slalom,baseline_lqr,0.0455006873888974,0.0050496159429758,0.0673278339534318,0.0075303918220095,0.0692446235564629,fixed_speed_suite,
slalom,koopman_mpc,0.0141663260415348,0.0031946429470664,0.0209400033696349,0.0049170575680379,0.0688097962914078,fixed_speed_suite,
lane_change,koopman_mpc,32.46866301597165,1.031072220736746,85.17410501841648,,0.5008071514652935,single_speed_koopman_sweep_Vx25,25.0
lane_change,baseline_lqr,0.2822185437479241,0.0451000243114291,0.5038130857147065,,0.1489003906790383,single_speed_koopman_sweep_Vx25,25.0
slalom,koopman_mpc,66.87489642800881,2.3542188944255846,140.80936692168927,,0.513378755711168,single_speed_koopman_sweep_Vx25,25.0
slalom,baseline_lqr,0.3069082423783602,0.0472189270481585,0.455794739828313,,0.0921713078602211,single_speed_koopman_sweep_Vx25,25.0
lane_change,koopman_mpc_vxaware_stable,1.0419763837088227,0.2296148424918591,2.257385314808684,,0.3611794291915849,vxaware_stable_sweep_Vx25,25.0
lane_change,baseline_lqr,0.2822185437479241,0.0451000243114291,0.5038130857147065,,0.1489003906790383,vxaware_stable_sweep_Vx25,25.0
slalom,koopman_mpc_vxaware_stable,1.956122780048341,0.3185911839268386,5.3127005120290045,,0.4503188694310197,vxaware_stable_sweep_Vx25,25.0
slalom,baseline_lqr,0.3069082423783602,0.0472189270481585,0.455794739828313,,0.0921713078602211,vxaware_stable_sweep_Vx25,25.0
