Vx,maneuver,controller,RMS_e_y_m,RMS_e_psi_rad,RMS_delta_rad,koopman_failure
10.0,lane_change,koopman_mpc,0.03708425731610836,0.00215400308582131,0.007017415940181097,False
10.0,lane_change,baseline_lqr,0.0015828064916895955,0.0010635192736017575,0.0038467653267779604,False
10.0,slalom,koopman_mpc,0.03574537552830215,0.002212477349765228,0.007293547932016715,False
10.0,slalom,baseline_lqr,0.0016988694138342494,0.001185654432244515,0.004291235471845996,False
15.0,lane_change,koopman_mpc,0.03564312227136141,0.0024895869908376643,0.0081441013120783,False
15.0,lane_change,baseline_lqr,0.011081041892397395,0.0009395339415606494,0.0044032464787450605,False
15.0,slalom,koopman_mpc,0.03563650274779483,0.0024617245200324583,0.00842221023789535,False
15.0,slalom,baseline_lqr,0.012001081695394468,0.0008478887906910551,0.004904724359105019,False
20.0,lane_change,koopman_mpc,0.03491740271878217,0.006832480769005557,0.013147427956424856,False
20.0,lane_change,baseline_lqr,0.0331122428198965,0.0024896273344594635,0.00510320167386172,False
20.0,slalom,koopman_mpc,0.03582844109264834,0.007023363489034859,0.013671654831170244,False
20.0,slalom,baseline_lqr,0.035830698812267414,0.002478471636604813,0.005697298095143933,False
25.0,lane_change,koopman_mpc,82.75170659054501,2.0710178477667203,0.37512657793977133,True
25.0,lane_change,baseline_lqr,0.07343149979619758,0.004708317502396321,0.005941792740265739,False
25.0,slalom,koopman_mpc,70.0696828770351,2.5735134880725608,0.36905793912443624,True
25.0,slalom,baseline_lqr,0.07938776487929018,0.0048851136904702564,0.006683778911816817,False
