Vx,maneuver,controller,RMS_e_y_m,MAX_abs_e_y_m,RMS_e_psi_rad,MAX_abs_e_psi_rad,RMS_delta_rad,MAX_abs_delta_rad,RMS_deltastep_rad,MAX_abs_deltastep_rad,RMS_deltarate_rads,MAX_abs_deltarate_rads
10.0,lane_change,koopman_mpc_vxaware_stable,0.20945412902504726,0.3537862272091675,0.0253455650143065,0.09145819312198866,0.045886948880615654,0.1287357852852361,0.01021905712554779,0.04000185914583125,0.2043811425109558,0.800037182916625
10.0,lane_change,baseline_lqr,0.0015706085196123569,0.0047950002012877215,0.010118087898380866,0.019497173171859852,0.03828734074464125,0.06510324126166003,0.0021460036397087903,0.009159229067601873,0.04292007279417581,0.18318458135203747
10.0,slalom,koopman_mpc_vxaware_stable,0.3787180375677613,0.7386607957077334,0.022519867599103578,0.06493891126080631,0.04369035445761667,0.1382992037955294,0.008457156870108333,0.04000359609388161,0.16914313740216666,0.8000719218776322
10.0,slalom,baseline_lqr,0.0015200397957353562,0.002323132802516735,0.011224799998767541,0.016174004897399296,0.04277302620524362,0.0616410080654417,0.0016733005510619556,0.0024318790153384662,0.03346601102123911,0.048637580306769325
15.0,lane_change,koopman_mpc_vxaware_stable,0.2292673442465343,0.4101456129332705,0.013951120900713905,0.04679707887034793,0.04270063021691062,0.07915480498725436,0.005297910012364758,0.02634164634268069,0.10595820024729516,0.5268329268536137
15.0,lane_change,baseline_lqr,0.04178082073798511,0.07450219429570257,0.006386614503209844,0.025310542710252137,0.04373935608899151,0.09283597700744066,0.0033936375780940476,0.014433912933928192,0.06787275156188094,0.28867825867856384
15.0,slalom,koopman_mpc_vxaware_stable,0.21833835058998258,0.3500985016624539,0.010303928475580927,0.023341602331931117,0.04665147682579202,0.06682923587879491,0.0031162286498353725,0.01847093578861727,0.062324572996707454,0.36941871577234536
15.0,slalom,baseline_lqr,0.04550068738889743,0.06732783395343189,0.005049615942975826,0.007530391822009572,0.04857001714554562,0.06924462355646295,0.0019103373828260448,0.0037369521191354983,0.03820674765652089,0.07473904238270997
20.0,lane_change,koopman_mpc_vxaware_stable,0.47554873191572383,0.6485567516656718,0.036596037620965034,0.11450718514036227,0.06226562581434708,0.1604924162499426,0.01617511966541972,0.04001709176296642,0.32350239330839436,0.8003418352593283
20.0,lane_change,baseline_lqr,0.1283369547683613,0.23016307217285314,0.022460900534222537,0.05434058363012121,0.05085010556884686,0.12073034589067586,0.00473601871062047,0.019734244006884928,0.0947203742124094,0.39468488013769853
20.0,slalom,koopman_mpc_vxaware_stable,0.4677353892662515,0.6371294833689221,0.02868425674741015,0.10696330194600032,0.0599127102038795,0.14269631541611383,0.012722136930268422,0.04002409895604173,0.2544427386053684,0.8004819791208346
20.0,slalom,baseline_lqr,0.13968274446229845,0.2069467999279012,0.022611812344515904,0.03410207834141737,0.05601758046712626,0.07937144027019541,0.002221773657435272,0.005352875984992886,0.04443547314870544,0.10705751969985772
25.0,lane_change,koopman_mpc_vxaware_stable,1.0419763837088227,2.257385314808684,0.22961484249185915,0.3982533607149542,0.17430838439182836,0.3611794291915849,0.03725917365332321,0.04056750236773973,0.7451834730664642,0.8113500473547947
25.0,lane_change,baseline_lqr,0.2822185437479241,0.5038130857147065,0.045100024311429135,0.09098843551020355,0.059445316180203114,0.14890039067903832,0.006048063993593474,0.025816280249781054,0.12096127987186947,0.5163256049956211
25.0,slalom,koopman_mpc_vxaware_stable,1.956122780048341,5.3127005120290045,0.31859118392683866,0.7000443567822247,0.19616718141643003,0.45031886943101973,0.037398410629346644,0.04056142607594487,0.7479682125869329,0.8112285215188975
25.0,slalom,baseline_lqr,0.30690824237836023,0.455794739828313,0.047218927048158506,0.07068178699499536,0.06526077740738445,0.09217130786022118,0.002610038932273586,0.008157191738100047,0.052200778645471714,0.16314383476200095
